Id,MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
45,120,RL,7658,Inside,TwnhsE,5,2005,2005,MetalSd,0,1752,319900
46,50,RL,12822,CulDSac,1Fam,5,2003,2003,VinylSd,0,1434,239686
47,20,FV,11096,Inside,1Fam,5,2006,2006,VinylSd,0,1656,249700
48,190,RM,4456,Inside,2fmCon,5,1920,2008,MetalSd,0,736,113000
49,20,RL,7742,Inside,1Fam,7,1966,1966,HdBoard,0,955,127000
50,60,RL,13869,Corner,1Fam,6,1997,1997,VinylSd,0,794,177000
51,50,RM,6240,Inside,1Fam,6,1934,1950,Wd Sdng,0,816,114500
52,90,RM,8472,Corner,Duplex,5,1963,1963,Wd Sdng,712,816,110000
53,20,RL,50271,Inside,1Fam,5,1981,1987,WdShing,0,1842,385000
54,80,RL,7134,Inside,1Fam,5,1955,1955,MetalSd,0,384,130000
55,20,RL,10175,Inside,1Fam,5,1964,1964,HdBoard,0,1425,180500
56,160,FV,2645,Inside,Twnhs,5,1999,2000,MetalSd,0,970,172500
57,60,RL,11645,Corner,1Fam,5,2004,2004,VinylSd,0,860,196500
58,60,RL,13682,CulDSac,1Fam,5,2006,2006,VinylSd,0,1410,438780
59,20,RL,7200,Inside,1Fam,7,1972,1972,HdBoard,0,780,124900
60,20,RL,13072,Inside,1Fam,5,2004,2004,VinylSd,0,1158,158000
61,75,RM,7200,Inside,1Fam,7,1920,1996,MetalSd,0,530,101000
62,120,RL,6442,Inside,TwnhsE,5,2006,2006,VinylSd,0,1370,202500
63,70,RM,10300,Inside,1Fam,6,1921,1950,Stucco,0,576,140000
64,60,RL,9375,Inside,1Fam,5,1997,1998,VinylSd,0,1057,219500
65,60,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0,1143,317000
66,20,RL,19900,Inside,1Fam,5,1970,1989,Plywood,0,1947,180000
67,20,RL,10665,Inside,1Fam,5,2003,2003,VinylSd,0,1453,226000
68,30,RM,4608,Corner,1Fam,6,1945,1950,MetalSd,0,747,80000
69,50,RL,15593,Corner,1Fam,4,1953,1953,BrkFace,0,1304,225000
70,20,RL,13651,Inside,1Fam,6,1973,1973,Plywood,0,2223,244000
71,20,RL,7599,Corner,1Fam,6,1982,2006,HdBoard,0,845,129500
72,60,RL,10141,Corner,1Fam,5,1998,1998,VinylSd,0,832,185000
73,20,RL,10200,Inside,1Fam,7,1954,2003,Wd Sdng,362,1086,144900
74,50,RM,5790,Corner,1Fam,6,1915,1950,VinylSd,0,840,107400
75,180,RM,1596,Inside,Twnhs,5,1973,1973,CemntBd,0,462,91000
76,20,RL,8475,Inside,1Fam,7,1956,1956,VinylSd,0,952,135750
77,50,RM,8635,Inside,1Fam,5,1948,2001,Wd Sdng,41,672,127000
78,90,RL,10778,Inside,Duplex,5,1968,1968,HdBoard,0,1768,136500
79,50,RM,10440,Corner,1Fam,6,1910,1981,Wd Sdng,0,440,110000
80,60,RL,13000,Corner,1Fam,6,1968,1968,VinylSd,0,896,193500
81,120,RM,4500,FR2,TwnhsE,5,1998,1998,VinylSd,0,1237,153500
82,20,RL,10206,Inside,1Fam,5,2007,2007,VinylSd,0,1563,245000
83,20,RL,8892,Inside,1Fam,5,1960,1960,MetalSd,0,1065,126500
84,80,RL,8530,Inside,1Fam,5,1995,1996,HdBoard,0,384,168500
85,60,RL,16059,Corner,1Fam,5,1991,1992,HdBoard,0,1288,260000
86,60,RL,11911,Inside,1Fam,5,2005,2005,VinylSd,0,684,174000
87,160,FV,3951,Corner,TwnhsE,5,2009,2009,VinylSd,0,612,164500
88,50,C (all),8470,Corner,1Fam,2,1915,1982,Plywood,0,1013,85000
89,20,RL,8070,Inside,1Fam,5,1994,1995,VinylSd,0,990,123600
90,20,RL,7200,Inside,1Fam,5,1950,1950,BrkFace,0,0,109900
91,20,RL,8500,Inside,1Fam,3,1961,1961,HdBoard,0,1235,98600
92,30,RL,13360,Inside,1Fam,7,1921,2006,Wd Sdng,0,876,163500
93,190,C (all),7200,Corner,2fmCon,6,1910,1998,MetalSd,0,1214,133900
94,60,RL,9337,Inside,1Fam,5,1997,1997,VinylSd,0,824,204750
95,60,RL,9765,Corner,1Fam,8,1993,1993,VinylSd,0,680,185000
96,20,RL,10264,Inside,1Fam,5,1999,1999,VinylSd,0,1588,214000
97,20,RL,10921,Inside,1Fam,5,1965,1965,HdBoard,0,960,94750
98,30,RL,10625,Corner,1Fam,5,1920,1950,Wd Sdng,0,458,83000
99,20,RL,9320,Inside,1Fam,5,1959,1959,Plywood,0,950,128950
100,20,RL,10603,Inside,1Fam,7,1977,2001,Plywood,0,1610,205000
101,60,RL,9206,Inside,1Fam,5,1985,1985,HdBoard,0,741,178000
102,90,RL,7018,Inside,Duplex,5,1979,1979,HdBoard,0,0,118964
103,20,RL,10402,Corner,1Fam,5,2009,2009,VinylSd,0,1226,198900
104,50,RM,7758,Corner,1Fam,4,1931,1950,Stucco,0,1040,169500
105,60,FV,9375,Inside,1Fam,5,2003,2004,VinylSd,0,1053,250000
106,30,RM,10800,Inside,1Fam,7,1885,1995,VinylSd,0,641,100000
107,20,RM,6000,Inside,1Fam,5,1948,1950,VinylSd,169,789,115000
108,50,RM,8500,Corner,1Fam,7,1919,2005,CemntBd,0,793,115000
109,20,RL,11751,Inside,1Fam,6,1977,1977,Plywood,0,1844,190000
110,50,RL,9525,Inside,1Fam,4,1954,1972,Wd Sdng,0,994,136900
111,80,RL,7750,Inside,1Fam,5,2000,2000,VinylSd,0,384,180000
112,60,RL,9965,Inside,1Fam,5,2007,2007,VinylSd,0,1264,383970
113,20,RL,21000,Corner,1Fam,5,1953,1953,Wd Sdng,869,1809,217000
114,70,RL,7259,Inside,1Fam,8,1945,2002,Wd Sdng,150,1028,259500
115,160,FV,3230,Corner,TwnhsE,5,1999,1999,MetalSd,0,729,176000
116,20,RL,11616,Inside,1Fam,5,1962,1962,Wd Sdng,670,1092,139000
117,20,RL,8536,Corner,1Fam,5,2006,2007,VinylSd,0,1125,155000
118,60,RL,12376,Corner,1Fam,5,1990,1990,Plywood,0,1673,320000
119,60,RL,8461,Inside,1Fam,5,2005,2006,VinylSd,0,728,163990
120,80,RL,21453,CulDSac,1Fam,5,1969,1969,Plywood,0,938,180000
121,50,RM,6060,Inside,1Fam,5,1939,1950,AsbShng,0,732,100000
122,20,RL,9464,Corner,1Fam,7,1958,1958,MetalSd,0,1080,136000
123,120,RL,7892,Inside,TwnhsE,5,1993,1993,Plywood,0,1199,153900
124,20,RL,17043,CulDSac,1Fam,5,1979,1998,HdBoard,0,1362,181000
125,190,RM,6780,Inside,2fmCon,8,1935,1982,Wd Sdng,0,520,84500
126,120,RL,4928,Inside,TwnhsE,5,1976,1976,Plywood,0,1078,128000
127,45,RM,4388,Inside,1Fam,7,1930,1950,WdShing,0,672,87000
128,60,RL,7590,Inside,1Fam,5,1966,1966,VinylSd,0,660,155000
129,20,RL,8973,Inside,1Fam,7,1958,1991,Plywood,28,1008,150000
130,60,RL,14200,Corner,1Fam,6,1966,1966,MetalSd,0,924,226000
131,60,RL,12224,Corner,1Fam,5,2000,2000,VinylSd,0,992,244000
132,20,RL,7388,Corner,1Fam,6,1959,2002,MetalSd,0,1063,150750
133,20,RL,6853,Inside,1Fam,5,2001,2002,VinylSd,0,1267,220000
134,20,RL,10335,Inside,1Fam,6,1968,1993,Plywood,0,1461,180000
135,20,RL,10400,Inside,1Fam,6,1970,1970,Plywood,0,1304,174000
136,20,RL,10355,Corner,1Fam,5,1967,1967,MetalSd,0,1214,143000
137,90,RL,11070,Inside,Duplex,5,1988,1989,VinylSd,0,1907,171000
138,60,RL,9066,Inside,1Fam,5,1999,2000,VinylSd,0,1004,230000
139,60,RL,15426,Inside,1Fam,5,1997,1997,VinylSd,0,928,231500
140,20,RL,10500,FR2,1Fam,5,1971,1971,HdBoard,0,864,115000
141,20,RL,11645,Inside,1Fam,5,2005,2005,VinylSd,0,1734,260000
142,50,RL,8520,Corner,1Fam,4,1952,1952,BrkFace,0,910,166000
143,20,RL,10335,Inside,1Fam,5,1999,1999,VinylSd,0,1490,204000
144,90,RM,9100,Inside,Duplex,5,1963,1963,HdBoard,0,1728,125000
145,160,RM,2522,Inside,Twnhs,5,2004,2006,VinylSd,0,970,130000
146,30,RM,6120,Corner,1Fam,7,1931,1993,Wd Sdng,0,715,105000
147,60,RL,9505,CulDSac,1Fam,5,2001,2001,VinylSd,0,884,222500
148,20,RL,7500,Inside,1Fam,5,2004,2005,VinylSd,0,1080,141000
149,50,RM,6240,Inside,1Fam,4,1936,1950,MetalSd,0,896,115000
150,20,RL,10356,Corner,1Fam,6,1975,1975,HdBoard,0,969,122000
151,20,RL,13891,Inside,1Fam,5,2007,2008,VinylSd,0,1710,372402
152,60,RL,14803,CulDSac,1Fam,5,1971,1971,HdBoard,0,825,190000
153,20,RL,13500,Inside,1Fam,7,1960,1975,BrkFace,1080,1602,235000
154,30,RM,11340,Corner,1Fam,5,1923,1950,Wd Sdng,0,1200,125000
155,50,RL,9600,Corner,1Fam,5,1924,1950,Wd Sdng,0,572,79000
156,20,RL,7200,Inside,1Fam,7,1950,1950,Wd Sdng,0,0,109500
157,60,RL,12003,Corner,1Fam,5,2009,2010,VinylSd,0,774,269500
158,60,FV,12552,Corner,1Fam,5,2004,2005,VinylSd,0,991,254900
159,60,RL,19378,Corner,1Fam,5,2005,2006,VinylSd,0,1392,320000
160,20,RL,11120,CulDSac,1Fam,6,1984,1984,Plywood,0,1232,162500
161,60,RL,13688,Inside,1Fam,5,2003,2004,VinylSd,0,1572,412500
162,20,RL,12182,Corner,1Fam,5,2005,2005,VinylSd,0,1541,220000
163,45,RL,5500,Inside,1Fam,6,1956,1956,MetalSd,0,882,103200
164,40,RM,5400,Corner,1Fam,7,1926,2004,MetalSd,0,1149,152000
165,190,RL,10106,Inside,2fmCon,7,1940,1999,Wd Sdng,181,644,127500
166,20,RL,10708,Inside,1Fam,5,1955,1993,Wd Sdng,768,1617,190000
167,60,RL,10562,Inside,1Fam,5,2007,2007,VinylSd,0,1582,325624
168,60,RL,8244,Inside,1Fam,5,2004,2004,VinylSd,0,840,183500
169,20,RL,16669,Corner,1Fam,6,1981,1981,Plywood,0,1686,228000
170,50,RM,12358,Inside,1Fam,6,1941,1950,MetalSd,0,720,128500
171,20,RL,31770,Corner,1Fam,5,1960,1960,BrkFace,0,1080,215000
172,160,RL,5306,Inside,TwnhsE,7,1987,1987,HdBoard,215,1064,239000
173,20,RL,10197,Inside,1Fam,5,1961,1961,WdShing,374,1362,163000
174,20,RL,12416,Inside,1Fam,5,1986,1986,VinylSd,208,1606,184000
175,20,RL,12615,Corner,1Fam,7,1950,2001,WdShing,0,1202,243000
176,60,RL,10029,Corner,1Fam,5,1988,1989,Plywood,0,1151,211000
177,50,RL,13650,Inside,1Fam,5,1958,1958,MetalSd,441,1052,172500
178,20,RL,17423,CulDSac,1Fam,5,2008,2009,VinylSd,0,2216,501837
179,30,RM,8520,Inside,1Fam,6,1923,2006,Wd Sdng,0,968,100000
180,160,FV,2117,Inside,Twnhs,5,2000,2000,MetalSd,0,756,177000
181,70,RL,7588,Inside,1Fam,6,1920,1950,Stucco,0,793,200100
182,20,RL,9060,Inside,1Fam,6,1957,2006,Wd Sdng,0,0,120000
183,50,RM,11426,Inside,1Fam,5,2003,2003,VinylSd,0,1362,200000
184,50,RL,7438,Inside,1Fam,8,1908,1991,AsbShng,0,504,127000
185,75,RM,22950,Inside,1Fam,9,1892,1993,Wd Sdng,0,1107,475000
186,80,RL,9947,CulDSac,1Fam,5,1990,1991,HdBoard,0,1188,173000
187,50,RL,10410,Inside,1Fam,7,1916,1987,HdBoard,0,660,135000
188,90,RL,7018,Inside,Duplex,5,1979,1979,Plywood,0,1086,153337
189,120,RL,4923,Inside,TwnhsE,5,2001,2002,CemntBd,0,1593,286000
190,70,RL,10570,Inside,1Fam,8,1932,1994,BrkFace,0,853,315000
191,60,RL,7472,CulDSac,1Fam,9,1972,2004,HdBoard,0,725,184000
192,20,RL,9017,Inside,1Fam,5,1999,1999,VinylSd,0,1431,192000
193,160,RM,2522,Inside,Twnhs,5,2004,2004,VinylSd,0,970,130000
194,20,RL,7180,Inside,1Fam,7,1972,1972,HdBoard,0,864,127000
195,160,RL,2280,FR2,Twnhs,6,1976,1976,Plywood,0,855,148500
196,20,RL,9416,Inside,1Fam,5,2007,2007,CemntBd,0,1726,311872
197,75,RL,25419,Corner,1Fam,4,1918,1990,Stucco,184,1360,235000
198,75,RM,5520,Corner,1Fam,6,1912,1950,Wd Sdng,0,755,104000
199,20,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0,1713,274900
200,20,RM,8546,Corner,1Fam,5,2003,2004,VinylSd,0,1121,140000
201,20,RL,10125,Inside,1Fam,6,1977,1977,Plywood,279,1196,171500
202,50,RL,7000,Corner,1Fam,6,1924,1950,MetalSd,0,617,112000
203,120,RM,4438,Inside,TwnhsE,5,2004,2004,VinylSd,0,848,149000
204,50,RM,3500,Inside,1Fam,7,1947,1950,AsbShng,0,720,110000
205,20,RL,11851,Corner,1Fam,5,1990,1990,HdBoard,0,1424,180500
206,20,RL,13673,CulDSac,1Fam,5,1962,1962,HdBoard,0,1140,143900
207,20,RL,12493,Inside,1Fam,5,1960,1960,Wd Sdng,306,1100,141000
208,60,RL,14364,Inside,1Fam,5,1988,1989,Plywood,0,1157,277000
209,20,RL,8250,Inside,1Fam,7,1964,1964,HdBoard,0,1092,145000
210,30,RL,5604,Inside,1Fam,6,1925,1950,Stucco,0,864,98000
211,20,RL,10420,Corner,1Fam,5,2009,2009,VinylSd,0,1212,186000
212,60,FV,8640,Inside,1Fam,5,2009,2009,VinylSd,0,900,252678
213,20,RL,13568,CulDSac,1Fam,5,1995,1995,VinylSd,0,990,156000
214,60,RL,10900,FR2,1Fam,7,1977,1977,HdBoard,0,689,161750
215,20,RL,10011,Inside,1Fam,6,1957,1996,HdBoard,0,1070,134450
216,20,RL,8450,Inside,1Fam,5,2004,2004,VinylSd,0,1436,210000
217,70,RM,9906,Inside,1Fam,4,1925,1950,MetalSd,0,686,107000
218,50,RL,15660,Corner,1Fam,9,1939,2006,VinylSd,0,798,311500
219,120,RL,3010,Inside,TwnhsE,5,2005,2006,VinylSd,0,1248,167240
220,20,RL,8990,Inside,1Fam,5,2006,2006,VinylSd,0,1498,204900
221,60,RL,8068,Inside,1Fam,5,2002,2002,VinylSd,0,1010,200000
222,60,RL,11475,Inside,1Fam,6,1975,1975,VinylSd,0,713,179900
223,20,RL,10500,FR2,1Fam,6,1971,1971,HdBoard,180,864,97000
224,20,RL,13472,Inside,1Fam,5,2003,2003,VinylSd,0,2392,386250
225,160,RM,1680,Inside,Twnhs,5,1971,1971,HdBoard,0,630,112000
226,60,RL,9950,Inside,1Fam,5,1995,1995,VinylSd,0,1203,290000
227,160,RM,1869,Inside,Twnhs,6,1970,1970,HdBoard,0,483,106000
228,20,RL,8521,FR2,1Fam,5,1967,1967,HdBoard,0,912,125000
229,120,RL,3182,Inside,TwnhsE,5,2005,2006,VinylSd,0,1373,192500
230,20,RL,8760,Inside,1Fam,6,1959,1959,MetalSd,0,1194,148000
231,60,RL,15138,Inside,1Fam,5,1995,1996,VinylSd,0,1462,403000
232,160,RM,1680,Inside,Twnhs,5,1972,1972,HdBoard,0,483,94500
233,20,RL,10650,Corner,1Fam,6,1976,1976,HdBoard,712,894,128200
234,60,RL,7851,Inside,1Fam,5,2002,2002,VinylSd,0,860,216500
235,160,RM,1680,Inside,TwnhsE,3,1971,1971,HdBoard,0,483,89500
236,20,RL,8773,FR2,1Fam,5,2004,2004,VinylSd,0,1414,185500
237,60,RL,9453,CulDSac,1Fam,7,1993,2003,HdBoard,0,996,194500
238,20,RL,12030,Inside,1Fam,5,2007,2007,VinylSd,0,1694,318000
239,50,RL,8741,Inside,1Fam,4,1945,1950,VinylSd,0,735,113000
240,20,FV,9000,Inside,1Fam,5,2008,2008,VinylSd,0,1566,262500
241,30,RM,3880,Inside,1Fam,9,1945,1997,VinylSd,0,686,110500
242,50,RM,5000,Corner,1Fam,4,1900,1950,Wd Sdng,0,540,79000
243,160,RL,10762,Corner,TwnhsE,6,1980,1980,Plywood,0,626,120000
244,60,RL,8880,Inside,1Fam,5,1994,2002,VinylSd,0,948,205000
245,20,RL,10400,Inside,1Fam,5,1988,1988,Wd Sdng,0,1845,241500
246,190,RM,9142,Inside,2fmCon,8,1910,1950,AsbShng,0,1020,137000
247,20,RL,11310,Inside,1Fam,5,1954,1954,Wd Sdng,0,1367,140000
248,60,RL,11317,Inside,1Fam,5,2003,2003,VinylSd,0,840,180000
249,50,RL,159000,CulDSac,1Fam,7,1958,2006,Wd Sdng,0,1444,277000
250,30,RL,5350,Inside,1Fam,2,1940,1966,Wd Sdng,0,728,76500
251,120,RM,4750,Inside,TwnhsE,5,2006,2007,VinylSd,0,1573,235000
252,60,RL,8366,Inside,1Fam,5,2004,2004,VinylSd,0,798,173000
253,80,RL,9350,Inside,1Fam,7,1964,1991,HdBoard,580,1302,158000
254,20,RL,8400,Inside,1Fam,6,1957,1957,MetalSd,0,1314,145000
255,60,RL,8738,Inside,1Fam,5,1999,1999,VinylSd,0,975,230000
256,60,FV,8791,Inside,1Fam,5,2003,2003,VinylSd,0,864,207500
257,20,RL,8814,Inside,1Fam,5,2006,2006,VinylSd,0,1604,220000
258,60,RL,12435,Inside,1Fam,5,2001,2001,VinylSd,0,963,231500
259,20,RM,12702,Inside,1Fam,5,1956,1956,BrkFace,0,0,97000
260,80,RL,19296,Corner,1Fam,5,1962,1962,Wd Sdng,690,1362,176000
261,60,RL,9588,Inside,1Fam,5,2007,2007,CemntBd,0,1482,276000
262,80,RL,8471,Corner,1Fam,7,1977,1995,HdBoard,0,506,151000
263,50,RM,5500,Corner,1Fam,7,1929,2001,Wd Sdng,692,926,130000
264,30,RM,5232,Inside,1Fam,5,1925,2004,Wd Sdng,0,680,73000
265,20,RL,12090,Inside,1Fam,6,1981,1981,MetalSd,228,1422,175500
266,60,RL,11207,FR2,1Fam,5,1997,1997,VinylSd,0,802,185000
267,75,RL,8400,Inside,1Fam,8,1939,1997,Wd Sdng,0,720,179500
268,30,RM,6900,Inside,1Fam,6,1940,1955,VinylSd,125,740,120500
269,20,RL,7917,Corner,1Fam,7,1976,1976,HdBoard,0,1143,148000
270,60,FV,10728,Inside,1Fam,5,2006,2006,VinylSd,0,1095,266000
271,20,RL,39104,CulDSac,1Fam,7,1954,2005,Plywood,1063,1385,241500
272,60,RL,11764,CulDSac,1Fam,7,1999,2007,VinylSd,0,1152,290000
273,20,RL,9600,Inside,1Fam,6,1958,1988,Wd Sdng,620,1240,139000
274,20,RL,8314,Corner,1Fam,7,1982,1982,HdBoard,0,816,124500
275,50,RL,7264,Inside,1Fam,7,1925,2007,Wd Sdng,0,952,205000
276,20,RL,9196,Inside,1Fam,5,2003,2003,VinylSd,0,1560,201000
277,20,RL,19138,Corner,1Fam,5,1951,1951,VinylSd,0,864,141000
278,20,RL,14450,Inside,1Fam,5,2006,2007,CemntBd,0,2121,415298
279,60,RL,10005,Inside,1Fam,5,1977,1977,Plywood,0,1160,192000
280,60,RL,11287,Inside,1Fam,6,1989,1989,Plywood,0,807,228500
281,20,FV,7200,Inside,1Fam,5,2006,2006,VinylSd,0,1262,185000
282,120,RL,5063,Inside,Twnhs,5,2007,2008,VinylSd,0,1314,207500
283,20,RL,9612,Inside,1Fam,5,2008,2009,VinylSd,0,1468,244600
284,120,RL,8012,Inside,TwnhsE,5,1992,1992,Plywood,0,1575,179200
285,160,FV,4251,Inside,TwnhsE,5,2006,2007,MetalSd,0,625,164700
286,50,RL,9786,Inside,1Fam,7,1962,1981,Wd Sdng,0,912,159000
287,20,RL,8125,Corner,1Fam,4,1971,1971,HdBoard,0,858,88000
288,20,RL,9819,Inside,1Fam,5,1967,1967,MetalSd,0,882,122000
289,70,RL,8730,Inside,1Fam,7,1915,2003,Wd Sdng,0,698,153575
290,60,RL,15611,Inside,1Fam,5,2006,2006,VinylSd,0,1079,233230
291,190,RL,5687,Inside,2fmCon,6,1912,2000,VinylSd,0,780,135900
292,50,RL,11409,Inside,1Fam,4,1949,2008,Wd Sdng,0,768,131000
293,60,RL,16659,Corner,1Fam,7,1977,1994,Plywood,0,795,235000
294,20,RL,9600,Inside,1Fam,5,1953,1953,HdBoard,0,1416,167000
295,80,RL,7937,CulDSac,1Fam,6,1984,1984,HdBoard,0,1003,142500
296,50,RM,13710,Inside,1Fam,5,1950,1950,Wd Sdng,0,910,152000
297,60,FV,7399,Inside,1Fam,5,1997,1998,VinylSd,0,975,239000
298,60,RL,11700,Inside,1Fam,6,1968,1968,HdBoard,175,702,175000
299,20,RL,14000,Inside,1Fam,8,1950,2004,HdBoard,0,1092,158500
300,190,RL,15750,Corner,2fmCon,5,1953,1953,MetalSd,0,1165,157000
301,60,RL,16226,Inside,1Fam,5,1998,1999,VinylSd,0,1028,267000
302,20,RL,13704,Corner,1Fam,5,2001,2002,VinylSd,0,1541,205000
303,20,RL,9800,Corner,1Fam,7,1972,1972,VinylSd,0,894,149900
304,75,RM,18386,Inside,1Fam,9,1880,2002,CemntBd,0,1470,295000
305,20,RL,10386,Inside,1Fam,5,2004,2005,CemntBd,0,2000,305900
306,60,RL,13474,Inside,1Fam,5,1990,1991,HdBoard,0,700,225000
307,50,RM,7920,Inside,1Fam,7,1920,1950,MetalSd,0,319,89500
308,30,RL,12342,Inside,1Fam,5,1940,1950,VinylSd,0,861,82500
309,20,RL,12378,Inside,1Fam,5,2003,2004,VinylSd,0,1896,360000
310,60,RL,7685,Inside,1Fam,5,1993,1994,HdBoard,0,697,165600
311,20,RL,8000,Inside,1Fam,6,1948,2002,VinylSd,0,972,132000
312,190,RM,7800,Inside,2fmCon,7,1939,1950,MetalSd,0,793,119900
313,20,RL,215245,Inside,1Fam,5,1965,1965,BrkFace,820,2136,375000
314,70,RM,9600,Inside,1Fam,7,1925,1990,Wd Sdng,0,728,178000
315,60,RL,7795,Inside,1Fam,5,2004,2005,VinylSd,0,716,188500
316,60,RL,13005,Corner,1Fam,7,1980,1980,CemntBd,0,845,260000
317,60,FV,9000,Inside,1Fam,5,2006,2006,VinylSd,0,1088,270000
318,60,RL,9900,Inside,1Fam,5,1993,1993,HdBoard,0,1347,260000
319,80,RL,14115,Inside,1Fam,5,1980,1980,Plywood,0,1372,187500
320,60,RL,16259,Corner,1Fam,5,2006,2006,VinylSd,0,1249,342643
321,60,RL,12099,Inside,1Fam,5,2004,2004,VinylSd,0,1136,354000
322,60,RL,10380,Inside,1Fam,5,1986,1987,Plywood,1474,1502,301000
323,20,RM,5820,Inside,1Fam,8,1955,2005,VinylSd,0,1162,126175
324,80,RL,11275,Corner,1Fam,7,1967,2007,Wd Sdng,0,710,242000
325,45,RM,5000,Inside,1Fam,6,1941,1950,MetalSd,0,720,87000
326,120,RL,10846,CulDSac,TwnhsE,5,1993,1993,BrkFace,0,1719,324000
327,20,RL,11600,Inside,1Fam,5,1960,1960,Wd Sdng,0,1383,145250
328,75,RL,11888,Inside,1Fam,6,1916,1994,Wd Sdng,0,844,214500
329,70,RM,6402,Corner,1Fam,5,1920,1950,Wd Sdng,0,596,78000
330,90,RL,10624,Inside,Duplex,4,1964,1964,HdBoard,264,1728,119000
331,20,RL,8176,Inside,1Fam,6,1958,1992,Wd Sdng,0,1056,139000
332,20,RL,10655,Inside,1Fam,5,2003,2004,VinylSd,479,3206,284000
333,120,RM,8198,FR3,TwnhsE,5,2004,2004,VinylSd,0,1358,207000
334,60,RL,9042,Inside,1Fam,5,1998,1998,VinylSd,0,943,192000
335,190,RL,164660,Corner,2fmCon,6,1965,1965,Plywood,147,1499,228950
